@RELATION FEATURE_COSTS

@ATTRIBUTE instance_id STRING
@ATTRIBUTE repetition NUMERIC
@ATTRIBUTE Feature-basic NUMERIC
@ATTRIBUTE Feature-constraints NUMERIC
@ATTRIBUTE Feature-tree NUMERIC
@ATTRIBUTE Feature-clause NUMERIC
@ATTRIBUTE Feature-dense NUMERIC
@ATTRIBUTE Feature-core NUMERIC
@ATTRIBUTE Feature-valid NUMERIC
@ATTRIBUTE Feature-cyclo NUMERIC
@ATTRIBUTE Satzilla-BASE NUMERIC
@ATTRIBUTE Satzilla-SP NUMERIC
@ATTRIBUTE Satzilla-DIA NUMERIC
@ATTRIBUTE Satzilla-CL NUMERIC
@ATTRIBUTE Satzilla-UNIT NUMERIC
@ATTRIBUTE Satzilla-LS NUMERIC
@ATTRIBUTE Satzilla-LOBJOIS NUMERIC
@ATTRIBUTE Satzilla-LP NUMERIC

@DATA
mc2022_track1_139.dimacs,1,0.002000,0.006000,0.000000,0.005000,0.116000,2.632000,60.010000,18.284000,13.781000,0.687000,1.025000,0.481000,0.491000,5.568000,2.466000,60.000000
mc2022_track1_141.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.001000,60.000000,60.009000,0.266000,0.065000,0.059000,0.054000,3.126000,0.038000,6.417000,0.700000,0.578000
mc2022_track1_143.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.004000,12.975000,60.008000,5.676000,0.124000,0.086000,0.087000,3.946000,0.048000,5.652000,2.049000,7.935000
mc2022_track1_145.dimacs,1,0.000000,0.006000,0.000000,0.006000,0.041000,60.000000,60.011000,60.000000,21.009000,2.081000,1.655000,5.768000,3.148000,5.063000,2.767000,9.413000
mc2022_track1_147.dimacs,1,0.000000,0.001000,0.000000,0.000000,0.004000,0.192000,60.007000,0.491000,0.387000,0.052000,0.020000,0.060000,0.013000,4.794000,1.515000,0.181000
mc2022_track1_149.dimacs,1,0.001000,0.012000,0.001000,0.048000,0.755000,2.592000,4.904000,60.000000,0.485000,?,0.476000,0.477000,?,60.000000,0.523000,0.484000
mc2022_track1_151.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.002000,0.023000,60.008000,0.162000,0.223000,0.029000,0.012000,0.016000,0.010000,3.199000,1.227000,0.074000
mc2022_track1_153.dimacs,1,0.000000,0.000000,0.000000,0.001000,0.002000,60.000000,60.008000,0.827000,0.045000,0.034000,0.035000,5.029000,0.025000,5.828000,2.017000,2.584000
mc2022_track1_155.dimacs,1,0.000000,0.001000,0.000000,0.011000,0.008000,0.055000,60.008000,5.720000,0.115000,0.076000,0.091000,0.065000,0.066000,5.365000,2.063000,60.000000
mc2022_track1_157.dimacs,1,0.001000,0.017000,0.003000,0.074000,2.339000,60.000000,60.032000,60.000000,1.290000,0.614000,0.932000,0.524000,0.516000,5.927000,2.501000,60.000000
mc2022_track1_159.dimacs,1,0.000000,0.001000,0.000000,0.000000,0.004000,12.247000,60.007000,5.751000,0.120000,0.086000,0.088000,5.047000,0.048000,5.568000,2.049000,10.777000
mc2022_track1_161.dimacs,1,0.000000,0.024000,0.000000,0.128000,0.207000,60.000000,60.026000,60.000000,23.746000,9.507000,13.575000,3.765000,4.835000,8.142000,5.579000,60.000000
mc2022_track1_163.dimacs,1,0.000000,0.017000,0.001000,0.039000,0.654000,6.766000,60.015000,60.000000,3.215000,1.424000,4.048000,1.128000,3.098000,6.474000,3.066000,16.559000
mc2022_track1_165.dimacs,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.002000,60.007000,0.037000,0.013000,0.012000,0.010000,0.010000,0.010000,0.767000,0.937000,0.015000
mc2022_track1_167.dimacs,1,0.010000,0.250000,0.032000,0.244000,60.000000,60.000000,60.457000,60.000000,2.415000,?,2.474000,2.412000,?,60.000000,2.401000,2.394000
mc2022_track1_169.dimacs,1,49.488000,0.000000,0.000000,0.000000,0.003000,0.041000,60.007000,0.292000,0.372000,0.044000,0.017000,0.032000,0.012000,4.353000,1.525000,0.098000
mc2022_track1_171.dimacs,1,0.000000,0.004000,0.000000,0.003000,0.018000,0.380000,5.103000,24.366000,0.903000,0.509000,0.798000,0.385000,0.381000,5.648000,2.361000,7.624000
mc2022_track1_173.dimacs,1,0.000000,0.001000,0.000000,0.001000,0.010000,60.000000,60.011000,2.209000,1.159000,0.128000,0.057000,5.025000,0.026000,5.270000,2.026000,0.680000
mc2022_track1_175.dimacs,1,0.000000,0.001000,0.000000,0.000000,0.004000,60.000000,60.008000,5.640000,0.070000,0.087000,0.081000,5.046000,0.050000,5.542000,2.045000,15.151000
mc2022_track1_177.dimacs,1,0.000000,0.030000,0.000000,0.028000,0.058000,60.000000,60.018000,60.000000,21.533000,4.462000,5.090000,1.414000,1.717000,5.829000,3.333000,24.250000
